OCC_GROUP_ID,OCC_GROUP,YEAR,RACE,TOTAL,MEN,WOMEN,,,
43-0000,Office and Administrative Support Occupations,2016,Asian,9.10,6.10,12.50,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2016,Asian,0.20,0.20,0.20,,,
47-0000,Construction and Extraction Occupations,2016,Asian,1.50,2.50,0.20,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2016,Asian,1.70,3.00,0.20,,,
51-0000,Production Occupations,2016,Asian,5.40,6.20,4.60,,,
53-0000,Transportation and Material Moving Occupations,2016,Asian,3.90,6.20,1.20,,,
00-0000,Total,2015,Hispanic or Latino,24400.00,14111.00,10289.00,,,
11-0000,Management Occupations,2015,Hispanic or Latino,9.30,9.10,9.70,,,
13-0000,Business and Financial Operations Occupations,2015,Hispanic or Latino,12.20,8.70,16.90,,,
39-0000,Personal Care and Service Occupations,2015,Hispanic or Latino,24.90,19.90,31.80,,,
41-0000,Sales and Related Occupations,2015,Hispanic or Latino,9.70,7.80,12.20,,,
43-0000,Office and Administrative Support Occupations,2015,Hispanic or Latino,11.40,6.50,18.20,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2015,Hispanic or Latino,2.00,2.60,1.20,,,
47-0000,Construction and Extraction Occupations,2015,Hispanic or Latino,10.40,17.60,0.60,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2015,Hispanic or Latino,3.90,6.50,0.30,,,
51-0000,Production Occupations,2015,Hispanic or Latino,7.80,9.10,5.90,,,
53-0000,Transportation and Material Moving Occupations,2015,Hispanic or Latino,8.40,12.20,3.20,,,
00-0000,Total,2016,Hispanic or Latino,25249.00,14563.00,10686.00,,,
11-0000,Management Occupations,2016,Hispanic or Latino,9.70,9.50,10.00,,,
13-0000,Business and Financial Operations Occupations,2016,Hispanic or Latino,12.30,8.80,17.00,,,
39-0000,Personal Care and Service Occupations,2016,Hispanic or Latino,25.40,20.30,32.20,,,
41-0000,Sales and Related Occupations,2016,Hispanic or Latino,9.80,8.20,12.10,,,
43-0000,Office and Administrative Support Occupations,2016,Hispanic or Latino,10.90,6.10,17.50,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2016,Hispanic or Latino,2.00,2.60,1.10,,,
47-0000,Construction and Extraction Occupations,2016,Hispanic or Latino,10.70,18.00,0.70,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2016,Hispanic or Latino,3.70,6.20,0.30,,,
51-0000,Production Occupations,2016,Hispanic or Latino,7.50,8.70,5.70,,,
53-0000,Transportation and Material Moving Occupations,2016,Hispanic or Latino,8.10,11.60,3.40,,,
