Title,Group,total 16+,16 -19 ,20 -24,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 +,Median
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Production occupations,83,0,10,23,15,15,17,4,40.9
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",Production occupations,8,0,0,3,1,2,2,0,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",Production occupations,48,1,2,6,16,10,12,0,-
"and tenders, metal and plastic",Production occupations,,,,,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Production occupations,14,1,0,4,2,3,4,0,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",Production occupations,6,0,0,2,2,1,1,0,-
Machinists,Production occupations,356,3,25,66,60,96,94,12,48.3
"Metal furnace operators, tenders, pourers, and casters",Production occupations,31,0,1,9,6,7,6,2,-
"Model makers and patternmakers, metal and plastic",Production occupations,4,0,0,0,0,3,1,0,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",Production occupations,33,1,5,7,6,8,4,1,-
"Multiple machine tool setters, operators, and tenders, metal and plastic",Production occupations,3,0,2,0,0,1,0,0,-
Tool and die makers,Production occupations,50,1,0,9,7,13,16,5,51.7
"Welding, soldering, and brazing workers",Production occupations,603,10,76,144,148,131,84,9,39.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",Production occupations,3,0,0,1,0,1,0,0,-
"Layout workers, metal and plastic",Production occupations,7,0,0,3,2,1,0,1,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",Production occupations,20,0,2,5,2,7,4,0,-
"Tool grinders, filers, and sharpeners",Production occupations,5,0,1,3,0,0,0,0,-
"Metal workers and plastic workers, all other",Production occupations,379,7,43,84,73,92,64,16,42.6
Prepress technicians and workers,Production occupations,22,0,1,3,7,6,4,1,-
Printing press operators,Production occupations,205,6,11,34,50,49,47,8,45.4
Print binding and finishing workers,Production occupations,14,0,4,1,2,2,4,2,-
Laundry and dry-cleaning workers,Production occupations,188,2,9,26,41,53,38,18,47.7
"Pressers, textile, garment, and related materials",Production occupations,36,0,3,5,8,12,4,2,-
Sewing machine operators,Production occupations,208,4,11,35,50,54,49,5,45.8
Shoe and leather workers and repairers,Production occupations,8,0,1,1,2,0,2,1,-
Shoe machine operators and tenders,Production occupations,2,0,0,1,0,0,0,0,-
"Tailors, dressmakers, and sewers",Production occupations,79,1,3,7,12,12,21,23,54.1
Textile bleaching and dyeing machine operators and tenders,Production occupations,2,0,0,0,0,1,0,0,-
"Textile cutting machine setters, operators, and tenders",Production occupations,9,0,1,0,2,3,1,2,-
"Textile knitting and weaving machine setters, operators, and tenders",Production occupations,13,0,0,2,3,3,3,1,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Production occupations,11,0,0,2,3,3,3,0,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Production occupations,0,0,0,0,0,0,0,0,-
Fabric and apparel patternmakers,Production occupations,1,0,0,0,0,0,1,0,-
Upholsterers,Production occupations,36,0,5,5,7,10,8,2,-
"Textile, apparel, and furnishings workers, all other",Production occupations,20,2,3,4,4,3,4,1,-
Cabinetmakers and bench carpenters,Production occupations,56,1,8,9,5,12,15,6,49.2
Furniture finishers,Production occupations,19,0,0,2,6,2,6,3,-
"Model makers and patternmakers, wood",Production occupations,0,0,0,0,0,0,0,0,-
"Sawing machine setters, operators, and tenders, wood",Production occupations,35,1,2,13,5,5,9,1,-
"Woodworking machine setters, operators, and tenders, except sawing",Production occupations,23,0,2,7,5,3,4,1,-
"Woodworkers, all other",Production occupations,34,0,2,8,5,5,11,3,-
"Power plant operators, distributors, and dispatchers",Production occupations,44,0,0,9,9,14,11,1,-
Stationary engineers and boiler operators,Production occupations,78,1,3,11,13,23,23,4,49.9
Water and wastewater treatment plant and system operators,Production occupations,77,0,2,14,20,22,17,2,46.4
Miscellaneous plant and system operators,Production occupations,38,0,3,10,7,13,4,1,-
"Chemical processing machine setters, operators, and tenders",Production occupations,54,0,3,14,9,18,9,1,47.3
"Crushing, grinding, polishing, mixing, and blending workers",Production occupations,94,1,12,21,22,21,14,4,41.8
Cutting workers,Production occupations,67,1,8,17,22,10,7,2,39
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Production occupations,29,1,5,4,4,11,3,1,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",Production occupations,16,0,0,4,2,4,4,1,-
"Inspectors, testers, sorters, samplers, and weighers",Production occupations,734,10,55,162,147,170,145,45,44
Jewelers and precious stone and metal workers,Production occupations,40,0,3,5,8,7,11,6,-
"Medical, dental, and ophthalmic laboratory technicians",Production occupations,85,3,8,17,22,15,13,7,43.2
Packaging and filling machine operators and tenders,Production occupations,236,11,26,53,43,61,36,6,40.8
Painting workers,Production occupations,173,5,18,47,42,38,19,4,39.4
Photographic process workers and processing machine operators,Production occupations,29,2,6,6,5,3,5,2,-
Semiconductor processors,Production occupations,2,0,0,0,0,1,0,0,-
Adhesive bonding machine operators and tenders,Production occupations,11,0,1,1,1,3,3,1,-
"Cleaning, washing, and metal pickling equipment operators and tenders",Production occupations,3,0,0,1,1,1,0,0,-
Cooling and freezing equipment operators and tenders,Production occupations,0,0,0,0,0,0,0,0,-
Etchers and engravers,Production occupations,6,0,0,1,0,0,4,0,-
"Molders, shapers, and casters, except metal and plastic",Production occupations,24,0,2,9,7,2,3,1,-
"Paper goods machine setters, operators, and tenders",Production occupations,33,0,3,6,5,13,5,2,-
Tire builders,Production occupations,10,0,1,1,4,3,1,0,-
Helpers--production workers,Production occupations,40,6,12,12,3,4,3,1,-
"Production workers, all other",Production occupations,968,19,98,227,209,223,162,31,41.8
Supervisors of transportation and material moving workers,Transportation and material moving occupations,190,0,8,42,53,47,31,10,43.7
Aircraft pilots and flight engineers,Transportation and material moving occupations,141,0,1,23,32,52,27,6,48.6
Air traffic controllers and airfield operations specialists,Transportation and material moving occupations,26,1,1,9,5,4,4,2,-
Flight attendants,Transportation and material moving occupations,93,1,4,18,13,34,19,5,49.1
"Ambulance drivers and attendants, except emergency medical technicians",Transportation and material moving occupations,19,0,2,4,1,2,7,2,-
Bus drivers,Transportation and material moving occupations,553,2,7,54,99,156,152,82,53.1
Driver/sales workers and truck drivers,Transportation and material moving occupations,"3,542",46,227,611,755,920,739,245,46.4
Taxi drivers and chauffeurs,Transportation and material moving occupations,500,3,24,88,100,112,112,60,48.2
"Motor vehicle operators, all other",Transportation and material moving occupations,63,1,5,10,6,10,16,17,54.3
Locomotive engineers and operators,Transportation and material moving occupations,52,0,0,10,15,15,11,1,45.9
"Railroad brake, signal, and switch operators",Transportation and material moving occupations,2,0,0,0,0,1,1,0,-
Railroad conductors and yardmasters,Transportation and material moving occupations,55,2,3,9,18,16,5,1,41.1
"Subway, streetcar, and other rail transportation workers",Transportation and material moving occupations,15,0,2,2,6,4,1,1,-
Sailors and marine oilers,Transportation and material moving occupations,16,1,2,5,5,2,1,1,-
Ship and boat captains and operators,Transportation and material moving occupations,31,1,2,5,10,3,7,2,-
Ship engineers,Transportation and material moving occupations,4,0,0,0,1,1,1,0,-
Bridge and lock tenders,Transportation and material moving occupations,2,0,0,0,1,0,1,1,-
Parking lot attendants,Transportation and material moving occupations,89,6,24,13,12,13,14,7,37
Automotive and watercraft service attendants,Transportation and material moving occupations,97,11,27,21,9,9,13,6,29.8
Transportation inspectors,Transportation and material moving occupations,26,0,2,4,3,8,9,1,-
"Transportation attendants, except flight attendants",Transportation and material moving occupations,41,1,4,7,8,10,6,6,-
Other transportation workers,Transportation and material moving occupations,34,1,1,10,7,8,7,1,-
Conveyor operators and tenders,Transportation and material moving occupations,3,0,0,1,1,0,1,0,-
Crane and tower operators,Transportation and material moving occupations,63,0,1,15,12,23,8,3,43.9
"Dredge, excavating, and loading machine operators",Transportation and material moving occupations,37,0,1,7,9,9,6,4,-
Hoist and winch operators,Transportation and material moving occupations,9,1,1,2,1,1,2,0,-
Industrial truck and tractor operators,Transportation and material moving occupations,605,11,57,174,117,129,103,14,40.6
Cleaners of vehicles and equipment,Transportation and material moving occupations,328,37,59,76,59,51,36,9,33.7
"Laborers and freight, stock, and material movers, hand",Transportation and material moving occupations,"1,900",138,357,449,305,331,261,59,35.6
Machine feeders and offbearers,Transportation and material moving occupations,30,0,4,4,8,5,7,1,-
"Packers and packagers, hand",Transportation and material moving occupations,550,70,85,123,99,99,58,17,35.1
Pumping station operators,Transportation and material moving occupations,16,0,0,5,4,2,3,1,-
Refuse and recyclable material collectors,Transportation and material moving occupations,101,2,11,23,20,27,14,4,41.5
Mine shuttle car operators,Transportation and material moving occupations,0,0,0,0,0,0,0,0,-
"Tank car, truck, and ship loaders",Transportation and material moving occupations,4,0,0,1,3,0,0,0,-
"Material moving workers, all other",Transportation and material moving occupations,45,1,6,5,14,8,7,3,-
